,T1R7,T2R7,T2R9,T3R7,T3R9,T4R7,T4R9,T5R7,T5R9,Kingdom,Phylum,Class,Order,Family,Genus,Species
SH1692811.08FU_FJ430773_reps,0,6657.640927,2331.782467,83850.1826,8444.490148,231282.2961,2914.781118,223494.7772,78300.27474,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,NA
SH1695393.08FU_U65307_reps,0,16895.06288,371.2114606,302252.883,3066.358323,581303.8356,897.8566837,436293.8921,12163.14947,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,NA
SH1685996.08FU_AJ292429_refs,0,0,11.93179695,239.1619584,3670.026181,0,58308.63478,0,557604.3837,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Cordycipitaceae,g__Lecanicillium,NA
SH1706045.08FU_GU054033_reps,0,0,1.325755216,0,404.7318592,3540.680313,1184.129829,8913.051932,7221.87,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,NA
SH1744621.08FU_KC181928_reps,0,446.6434631,259.406104,5979.048959,1317.093508,35406.80313,1014.968425,18494.58276,10642.75579,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,NA
SH1744611.08FU_EF679363_refs,0,413.4768693,375.4096855,4352.747642,2263.754467,15680.15567,2927.793534,15375.01458,34969.05474,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,NA
SH1670916.08FU_AY943061_refs,0,0,4.198224852,0,61.73875819,0,91.08690994,0,6081.574737,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,NA
SH1687332.08FU_KM277974_reps,0,35.37770004,0,2917.775892,0,4425.850391,0,668.4788949,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraphaeosphaeria,NA
SH1712306.08FU_GU237794_refs,0,0,113.1311118,0,8286.713321,0,5868.599483,0,83241.55421,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Didymella,NA
SH1664258.08FU_LN808981_reps,0,79.5998251,117.1083775,1147.9774,404.7318592,0,1353.291233,0,65376.92842,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Chalastospora,NA
SH1688430.08FU_KC584249_refs,0,33.16659379,0,4831.071559,0,7713.624967,0,12478.2727,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,NA
SH1688498.08FU_KJ650604_reps,0,0,0,0,13.71972404,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,NA
SH1688806.08FU_KY788106_reps,0,0,0,0,54.87889617,0,130.1241571,891.3051932,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,NA
SH1800509.08FU_HM365253_refs,0,106.1331001,13.92042977,453594.5702,2153.996675,2164240.841,5439.189765,2606399.211,458778.7942,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA
