,control.gypsum.dry.tp0,control.gypsum.dry.tp1,control.gypsum.wet.tp0,control.gypsum.wet.tp1,control.gypsum.dry.tp2,control.gypsum.wet.tp3,loc1.plywood.wet.tp0,control.mdf.dry.tp1,control.plywood.dry.tp2,control.mdf.dry.tp3,control.mdf.dry.tp0,control.mdf.dry.tp2,loc1.gypsum.wet.tp2,control.plywood.dry.tp1,control.plywood.dry.tp3,control.plywood.dry.tp0,control.plywood.wet.tp3,loc1.gypsum.dry.tp0,loc1.gypsum.dry.tp1,loc1.gypsum.dry.tp3,loc1.gypsum.wet.tp0,loc1.gypsum.dry.tp2,loc1.gypsum.wet.tp3,loc1.mdf.dry.tp0,loc1.mdf.dry.tp1,loc1.plywood.dry.tp2,loc1.mdf.dry.tp3,loc1.mdf.wet.tp0,loc1.mdf.dry.tp2,loc2.plywood.wet.tp0,loc1.plywood.dry.tp1,loc1.plywood.dry.tp3,loc1.plywood.dry.tp0,loc1.plywood.wet.tp1,loc2.gypsum.wet.tp2,loc2.gypsum.dry.tp0,loc2.gypsum.dry.tp1,loc2.plywood.wet.tp2,loc2.gypsum.wet.tp0,loc2.gypsum.wet.tp1,loc2.gypsum.dry.tp2,loc2.gypsum.wet.tp3,control.mdf.wet.tp0,loc2.mdf.dry.tp1,loc2.plywood.dry.tp2,loc2.mdf.dry.tp3,loc2.mdf.dry.tp2,control.plywood.wet.tp0,loc2.plywood.dry.tp1,loc2.plywood.dry.tp3,loc2.plywood.dry.tp0,loc2.plywood.wet.tp1,control.gypsum.wet.tp2,loc2.plywood.wet.tp3
3464844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.4875,59.60766667,0,0,262.975,0,0,0,1805.761667,0,0,617.1146668,1012.45375,0,76.26275,156.0318333,0,0,448.8106666,305.051,0,20346.37575,0,14973.7965,0,0,1743.52425,7503.553333,2290.51225,7963.759584,0,1875.888333,0,1122.026667,0,0,0
1011712,0,0,0,0,0,0,21751.53883,0,0,0,0,0,0,0,0,0,0,105.19,238.4306667,841.52,0,5522.475,0,683.735,0,5417.285,0,52542.405,2159.901334,0,252.456,686.36475,0,0,0,0,101.6836667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.95,0,0,95.54758333,0,0,0,0,0,252.456,0,546.1114167,0,0,280.5066667,864.3111666,0,13564.2505,0,13310.04134,0,0,312.94025,8910.469583,0,1385.001667,0,375.1776667,1093.976,105.19,0,0,0
1114878,263.8515833,673.216,604.8425,0,35000.21934,0,0,0,13779.89,0,1399.027,0,0,284.013,0,0,0,315.57,0,0,0,0,0,0,955.4758333,2889.218666,0,0,1851.344,28.92725,0,0,0,0,0,0,152.5255,0,2260.708417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111294,0,0,78.8925,0,15000.094,0,3434.4535,1113.260833,0,1399.027,1149.20075,2958.46875,0,1104.495,0,0,1804.0085,0,894.1150001,1683.04,1139.558333,4207.6,0,626.7570834,1624.308917,2166.914,562.7665,52542.405,617.1146668,144.63625,820.482,762.6275,468.0955,0,0,0,355.8928333,0,13564.2505,304.1744167,8318.775835,0,0,44.70575,5158.692916,2114.319,346.2504167,66585.27,0,1093.976,35.06333333,0,0,0
1002005,0,294.532,0,0,0,0,14882.63183,0,0,0,99.9305,0,0,0,0,0,0,236.6775,298.0383334,0,56.97791667,525.95,0,0,382.1903333,1444.609333,0,20433.1575,771.3933335,57.8545,189.342,610.102,312.0636667,0,0,168.304,559.2601666,0,2260.708417,0,8318.775835,0,0,178.823,1406.91625,0,3462.504167,0,93.79441667,1598.888,70.12666666,0,0,0
1048878,0,336.608,184.0825,0,7500.047001,0,0,2783.152083,344.49725,0,0,197.23125,0,189.342,2864.674333,134.11725,601.3361667,262.975,417.2536667,0,170.93375,0,0,0,0,722.3046666,93.79441667,14595.1125,771.3933335,0,126.228,457.5765,312.0636667,0,0,56.10133333,0,0,9042.833668,0,0,0,0,0,2344.860417,0,0,0,0,0,0,0,0,0
1078248,75.38616666,0,0,205149.4273,80000.50134,245781.6945,5724.089167,0,0,0,0,0,135006.1055,0,0,0,38485.51467,262.975,417.2536667,105.19,0,4207.6,21588.49433,113.9558333,0,361.1523333,1500.710667,14595.1125,0,0,0,762.6275,0,0,16094.07,0,0,0,0,11558.62783,8318.775835,29032.44,0,0,0,0,0,0,0,0,0,0,278337.9995,0
1088305,0,0,0,0,0,0,4006.862417,890.6086664,0,0,0,0,0,0,0,0,0,262.975,715.292,0,284.8895834,5522.475,0,683.735,0,3250.371,0,87570.675,154.2786667,28.92725,252.456,533.83925,858.1750834,0,0,0,0,0,4521.416834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984831,0,0,0,0,0,0,24041.1745,0,0,0,0,0,0,47.3355,0,29.80383334,0,710.0325,3874.498334,1577.85,1424.447917,8152.225,0,1424.447917,1528.761333,4333.828,1031.738583,49623.3825,1542.786667,0,126.228,2516.67075,1950.397917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61036.4975,0,0,0,0,0,0
2979800,904.6339999,0,315.57,0,25000.15667,0,9730.951584,3339.782499,19980.8405,0,1748.78375,986.15625,0,0,0,0,0,0,0,0,683.735,7363.3,0,512.80125,1337.666167,6500.741999,0,55461.4275,1851.344,0,1072.938,0,156.0318333,97.30075,0,112.2026667,50.84183333,0,0,0,3327.510334,0,0,44.70575,2344.860417,0,346.2504167,155365.63,0,0,0,0,491.76325,0
941487,0,0,0,0,0,0,1717.22675,0,0,0,0,0,0,0,0,0,12026.72333,0,298.0383334,0,0,0,0,512.80125,0,0,0,0,2622.737334,115.709,315.57,305.051,468.0955,0,6556.843333,112.2026667,152.5255,19118.2825,11303.54209,912.5232501,9982.531002,14516.22,0,44.70575,3751.776666,352.3865,0,0,187.5888333,168.304,105.19,1388.508,0,4378.53375
1787644,0,0,0,0,0,0,8013.724834,0,0,0,49.96525,0,0,0,0,2727.050751,0,1235.9825,0,0,512.80125,8415.2,0,113.9558333,6210.592916,5056.132666,1219.327417,0,33478.47067,15678.5695,0,7092.43575,2028.413833,0,0,22552.736,14134.02967,0,599087.7305,0,607270.636,0,268.2345,25258.74875,133657.0437,58319.96575,181781.4688,102652.2913,46146.853,2019.648,15638.24667,0,0,0
